PG.ProteinGroups,R.FileName,protein_intensity,R.Condition,R.Replicate,intensity_rank,raw_protein_intensity
H9L441;Q8ZMY1,E1_250721_25...E012_sample_22,18267.518934929198,EM9661,4,1638,16055.9506342622
H9L441;Q8ZMY1,E1_250721_25...E012_sample_05,23102.162253313327,EM9662,1,1448,21478.412433745
H9L441;Q8ZMY1,E1_250721_25...E012_sample_11,29683.06920064931,EM9662,2,1236,28509.3690678712
H9L441;Q8ZMY1,E1_250721_25...E012_sample_17,27958.37164449114,EM9662,3,1280,26617.3543724987
H9L441;Q8ZMY1,E1_250721_25...E012_sample_23,15789.683475805841,EM9662,4,1748,14739.2496577206
H9L441;Q8ZMY1,E1_250721_25...E012_sample_01,18000.959599860686,TH9677,1,1632,19116.2883042831
H9L441;Q8ZMY1,E1_250721_25...E012_sample_07,11991.705860918326,TH9677,2,1961,11685.3026786232
H9L441;Q8ZMY1,E1_250721_25...E012_sample_13,16494.96726830027,TH9677,3,1730,16926.1190304687
H9L441;Q8ZMY1,E1_250721_25...E012_sample_19,13774.524041789047,TH9677,4,1884,14230.2793020942
H9L442,E1_250721_25...E012_sample_06,15124.325395132804,EM16223,1,1805,14358.11772421
H9L442,E1_250721_25...E012_sample_12,14850.007154894032,EM16223,2,1800,13502.9339515714
H9L442,E1_250721_25...E012_sample_18,14778.341903561528,EM16223,3,1813,14094.2856470627
H9L442,E1_250721_25...E012_sample_24,13322.554176437854,EM16223,4,1905,13520.6045296085
H9L442,E1_250721_25...E012_sample_02,23389.921637691663,EM8513,1,1448,25663.4430409633
H9L442,E1_250721_25...E012_sample_08,20714.868837591777,EM8513,2,1545,22571.9063617287
H9L442,E1_250721_25...E012_sample_14,15553.275236824888,EM8513,3,1800,18636.4922254419
H9L442,E1_250721_25...E012_sample_20,16971.629515558267,EM8513,4,1765,17848.7629149385
H9L442,E1_250721_25...E012_sample_03,27640.73572953646,EM9660,1,1289,28016.6395019954
H9L442,E1_250721_25...E012_sample_09,23168.530441644878,EM9660,2,1440,24494.6881043731
H9L442,E1_250721_25...E012_sample_15,24855.41090913892,EM9660,3,1388,26375.8836488375
H9L442,E1_250721_25...E012_sample_21,24752.070763477983,EM9660,4,1385,27010.1283568635
H9L442,E1_250721_25...E012_sample_04,25635.895206893838,EM9661,1,1349,24111.0254419475
H9L442,E1_250721_25...E012_sample_10,18889.303566694238,EM9661,2,1603,17944.222788181
H9L442,E1_250721_25...E012_sample_16,21672.907626262062,EM9661,3,1511,20879.8774161804
H9L442,E1_250721_25...E012_sample_22,24261.21124472395,EM9661,4,1411,21324.0129357613
H9L442,E1_250721_25...E012_sample_05,23511.360829684887,EM9662,1,1431,21858.850234079
H9L442,E1_250721_25...E012_sample_11,25414.019200042163,EM9662,2,1363,24409.1218456654
H9L442,E1_250721_25...E012_sample_17,20941.610685635264,EM9662,3,1521,19937.1508411968
H9L442,E1_250721_25...E012_sample_23,15797.811169523133,EM9662,4,1747,14746.8366436804
H9L442,E1_250721_25...E012_sample_01,15713.485497011605,TH9677,1,1735,16687.0836723821
H9L442,E1_250721_25...E012_sample_07,13517.704924127902,TH9677,2,1859,13172.3105445361
H9L442,E1_250721_25...E012_sample_13,18395.843211920725,TH9677,3,1627,18876.6807964024
H9L442,E1_250721_25...E012_sample_19,17196.611801358118,TH9677,4,1689,17765.5930789774
H9L443,E1_250721_25...E012_sample_06,5484.3554946082195,EM16223,1,2435,5206.51465607477
H9L443,E1_250721_25...E012_sample_12,5374.773989104059,EM16223,2,2381,4887.21772471186
